"","HUC","Stressor","simulation","dose","sys.cap"
"246","0401010102","StressorC","5",0,1
"247","0401010102","StressorC","50",0,1
"248","0401010102","StressorC","51",0,1
"249","0401010102","StressorC","52",0,1
"250","0401010102","StressorC","53",0,1
"251","0401010102","StressorC","54",0,1
"252","0401010102","StressorC","55",0,1
"253","0401010102","StressorC","56",0,1
"254","0401010102","StressorC","57",0,1
"255","0401010102","StressorC","58",0,1
"256","0401010102","StressorC","59",0,1
"257","0401010102","StressorC","6",0,1
"258","0401010102","StressorC","60",0,1
"259","0401010102","StressorC","61",0,1
"260","0401010102","StressorC","62",0,1
"261","0401010102","StressorC","63",0,1
"262","0401010102","StressorC","64",0,1
"263","0401010102","StressorC","65",0,1
"264","0401010102","StressorC","66",0,1
"265","0401010102","StressorC","67",0,1
"266","0401010102","StressorC","68",0,1
"267","0401010102","StressorC","69",0,1
"268","0401010102","StressorC","7",0,1
"269","0401010102","StressorC","70",0,1
"270","0401010102","StressorC","71",0,1
"271","0401010102","StressorC","72",0,1
"272","0401010102","StressorC","73",0,1
"273","0401010102","StressorC","74",0,1
"274","0401010102","StressorC","75",0,1
"275","0401010102","StressorC","76",0,1
"276","0401010102","StressorC","77",0,1
"277","0401010102","StressorC","78",0,1
"278","0401010102","StressorC","79",0,1
"279","0401010102","StressorC","8",0,1
"280","0401010102","StressorC","80",0,1
"281","0401010102","StressorC","81",0,1
"282","0401010102","StressorC","82",0,1
"283","0401010102","StressorC","83",0,1
"284","0401010102","StressorC","84",0,1
"285","0401010102","StressorC","85",0,1
"286","0401010102","StressorC","86",0,1
"287","0401010102","StressorC","87",0,1
"288","0401010102","StressorC","88",0,1
"289","0401010102","StressorC","89",0,1
"290","0401010102","StressorC","9",0,1
"291","0401010102","StressorC","90",0,1
"292","0401010102","StressorC","91",0,1
"293","0401010102","StressorC","92",0,1
"294","0401010102","StressorC","93",0,1
"295","0401010102","StressorC","94",0,1
"296","0401010102","StressorC","95",0,1
"297","0401010102","StressorC","96",0,1
"298","0401010102","StressorC","97",0,1
"299","0401010102","StressorC","98",0,1
"300","0401010102","StressorC","99",0,1
"301","0401010102","StressorD","1",0.1,1
"302","0401010102","StressorD","10",0.1,1
"303","0401010102","StressorD","100",0.1,1
"304","0401010102","StressorD","11",0.1,1
"305","0401010102","StressorD","12",0.1,1
"306","0401010102","StressorD","13",0.1,1
"307","0401010102","StressorD","14",0.1,1
"308","0401010102","StressorD","15",0.1,1
"309","0401010102","StressorD","16",0.1,1
"310","0401010102","StressorD","17",0.1,1
"311","0401010102","StressorD","18",0.1,1
"312","0401010102","StressorD","19",0.1,1
"313","0401010102","StressorD","2",0.1,1
"314","0401010102","StressorD","20",0.1,1
"315","0401010102","StressorD","21",0.1,1
"316","0401010102","StressorD","22",0.1,1
"317","0401010102","StressorD","23",0.1,1
"318","0401010102","StressorD","24",0.1,1
"319","0401010102","StressorD","25",0.1,1
"320","0401010102","StressorD","26",0.1,1
"321","0401010102","StressorD","27",0.1,1
"322","0401010102","StressorD","28",0.1,1
"323","0401010102","StressorD","29",0.1,1
"324","0401010102","StressorD","3",0.1,1
"325","0401010102","StressorD","30",0.1,1
"326","0401010102","StressorD","31",0.1,1
"327","0401010102","StressorD","32",0.1,1
"328","0401010102","StressorD","33",0.1,1
"329","0401010102","StressorD","34",0.1,1
"330","0401010102","StressorD","35",0.1,1
"331","0401010102","StressorD","36",0.1,1
"332","0401010102","StressorD","37",0.1,1
"333","0401010102","StressorD","38",0.1,1
"334","0401010102","StressorD","39",0.1,1
"335","0401010102","StressorD","4",0.1,1
"336","0401010102","StressorD","40",0.1,1
"337","0401010102","StressorD","41",0.1,1
"338","0401010102","StressorD","42",0.1,1
"339","0401010102","StressorD","43",0.1,1
"340","0401010102","StressorD","44",0.1,1
"341","0401010102","StressorD","45",0.1,1
"342","0401010102","StressorD","46",0.1,1
"343","0401010102","StressorD","47",0.1,1
"344","0401010102","StressorD","48",0.1,1
"345","0401010102","StressorD","49",0.1,1
"346","0401010102","StressorD","5",0.1,1
"347","0401010102","StressorD","50",0.1,1
"348","0401010102","StressorD","51",0.1,1
"349","0401010102","StressorD","52",0.1,1
"350","0401010102","StressorD","53",0.1,1
"351","0401010102","StressorD","54",0.1,1
"352","0401010102","StressorD","55",0.1,1
"353","0401010102","StressorD","56",0.1,1
"354","0401010102","StressorD","57",0.1,1
"355","0401010102","StressorD","58",0.1,1
"356","0401010102","StressorD","59",0.1,1
"357","0401010102","StressorD","6",0.1,1
"358","0401010102","StressorD","60",0.1,1
"359","0401010102","StressorD","61",0.1,1
"360","0401010102","StressorD","62",0.1,1
"361","0401010102","StressorD","63",0.1,1
"362","0401010102","StressorD","64",0.1,1
"363","0401010102","StressorD","65",0.1,1
"364","0401010102","StressorD","66",0.1,1
"365","0401010102","StressorD","67",0.1,1
"366","0401010102","StressorD","68",0.1,1
"367","0401010102","StressorD","69",0.1,1
"368","0401010102","StressorD","7",0.1,1
"369","0401010102","StressorD","70",0.1,1
"370","0401010102","StressorD","71",0.1,1
"371","0401010102","StressorD","72",0.1,1
"372","0401010102","StressorD","73",0.1,1
"373","0401010102","StressorD","74",0.1,1
"374","0401010102","StressorD","75",0.1,1
"375","0401010102","StressorD","76",0.1,1
"376","0401010102","StressorD","77",0.1,1
"377","0401010102","StressorD","78",0.1,1
"378","0401010102","StressorD","79",0.1,1
"379","0401010102","StressorD","8",0.1,1
"380","0401010102","StressorD","80",0.1,1
"381","0401010102","StressorD","81",0.1,1
"382","0401010102","StressorD","82",0.1,1
"383","0401010102","StressorD","83",0.1,1
"384","0401010102","StressorD","84",0.1,1
"385","0401010102","StressorD","85",0.1,1
"386","0401010102","StressorD","86",0.1,1
"387","0401010102","StressorD","87",0.1,1
"388","0401010102","StressorD","88",0.1,1
"389","0401010102","StressorD","89",0.1,1
"390","0401010102","StressorD","9",0.1,1
"391","0401010102","StressorD","90",0.1,1
"392","0401010102","StressorD","91",0.1,1
"393","0401010102","StressorD","92",0.1,1
"394","0401010102","StressorD","93",0.1,1
"395","0401010102","StressorD","94",0.1,1
"396","0401010102","StressorD","95",0.1,1
"397","0401010102","StressorD","96",0.1,1
"398","0401010102","StressorD","97",0.1,1
"399","0401010102","StressorD","98",0.1,1
"400","0401010102","StressorD","99",0.1,1
"401","0401010502","StressorA","1",0.69999941477542,0.531077987600143
"402","0401010502","StressorA","10",0.699998671676197,0.531078060592486
"403","0401010502","StressorA","100",0.700000019675038,0.531077928182778
"404","0401010502","StressorA","11",0.700000871399774,0.531077844520653
"405","0401010502","StressorA","12",0.699998862652428,0.531078041833473
"406","0401010502","StressorA","13",0.700000887196148,0.531077842969028
"407","0401010502","StressorA","14",0.700000362151174,0.531077894542459
"408","0401010502","StressorA","15",0.69999941635905,0.531077987444588
"409","0401010502","StressorA","16",0.700000503607303,0.531077880647688
"410","0401010502","StressorA","17",0.700000264154851,0.531077904168318
"411","0401010502","StressorA","18",0.699999488659896,0.531077980342703
"412","0401010502","StressorA","19",0.699998889097091,0.531078039235895
"413","0401010502","StressorA","2",0.700001315855406,0.531077800863276
"414","0401010502","StressorA","20",0.69999948972493,0.531077980238088
"415","0401010502","StressorA","21",0.700000425582632,0.531077888311795
"416","0401010502","StressorA","22",0.699999264192218,0.53107800239146
"417","0401010502","StressorA","23",0.699998868247198,0.531078041283916
"418","0401010502","StressorA","24",0.699999557390071,0.531077973591555
"419","0401010502","StressorA","25",0.699999181674726,0.531078010496896
"420","0401010502","StressorA","26",0.700000557131187,0.531077875390213
"421","0401010502","StressorA","27",0.700000355217782,0.531077895223503
"422","0401010502","StressorA","28",0.70000019952516,0.531077910516682
"423","0401010502","StressorA","29",0.70000033160958,0.53107789754246
"424","0401010502","StressorA","3",0.699999249194579,0.531078003864631
"425","0401010502","StressorA","30",0.69999923336975,0.531078005419055
"426","0401010502","StressorA","31",0.699999740626739,0.531077955592798
"427","0401010502","StressorA","32",0.700000416534561,0.531077889200557
"428","0401010502","StressorA","33",0.700000045530416,0.531077925643087
"429","0401010502","StressorA","34",0.699999989172054,0.531077931178988
"430","0401010502","StressorA","35",0.699998892680212,0.531078038883936
"431","0401010502","StressorA","36",0.700001035991915,0.531077828353319
"432","0401010502","StressorA","37",0.699999641725603,0.531077965307542
"433","0401010502","StressorA","38",0.700000509196499,0.531077880098679
"434","0401010502","StressorA","39",0.700000621763319,0.531077869041612
"435","0401010502","StressorA","4",0.700000995218257,0.531077832358379
