"","scenario","HUC","simulation","CE"
"115","base_unc",1701010202,15,0.0963445215276535
"116","base_unc",1701010202,16,0.166731400899166
"117","base_unc",1701010202,17,0.141245670519506
"118","base_unc",1701010202,18,0.216358138128515
"119","base_unc",1701010202,19,0.0798362080248773
"120","base_unc",1701010202,20,0.162317934446999
"121","base_unc",1701010202,21,0.0278860732952148
"122","base_unc",1701010202,22,0.121227126774053
"123","base_unc",1701010202,23,0.144410871531287
"124","base_unc",1701010202,24,0.120355056199388
"125","base_unc",1701010202,25,0.110068025680999
"126","base_unc",1701010202,26,0.132453634186165
"127","base_unc",1701010202,27,0.0409184267526041
"128","base_unc",1701010202,28,0.257872208204683
"129","base_unc",1701010202,29,0.0692256527458111
"130","base_unc",1701010202,30,0.0879073203747062
"131","base_unc",1701010202,31,0.0336977684821782
"132","base_unc",1701010202,32,0.063440043010933
"133","base_unc",1701010202,33,0.0947585792691098
"134","base_unc",1701010202,34,0.11706179771569
"135","base_unc",1701010202,35,0.0170817291687419
"136","base_unc",1701010202,36,0.130574490366311
"137","base_unc",1701010202,37,0.0958941678196744
"138","base_unc",1701010202,38,0.182023825903979
"139","base_unc",1701010202,39,0.0304532122890971
"140","base_unc",1701010202,40,0.0825880004249503
"141","base_unc",1701010202,41,0.123932344114561
"142","base_unc",1701010202,42,0.101713107361201
"143","base_unc",1701010202,43,0.173227705232803
"144","base_unc",1701010202,44,0.029094500268015
"145","base_unc",1701010202,45,0.15198959118064
"146","base_unc",1701010202,46,0.194256057357029
"147","base_unc",1701010202,47,0.0628313223857837
"148","base_unc",1701010202,48,0.113379743924043
"149","base_unc",1701010202,49,0.0239084490113435
"150","base_unc",1701010202,50,0.0272271330302318
"151","base_unc",1701010202,51,0.166030156675591
"152","base_unc",1701010202,52,0.198013797375718
"153","base_unc",1701010202,53,0.212622227349222
"154","base_unc",1701010202,54,0.0433499380239361
"155","base_unc",1701010202,55,0.0817557340327991
"156","base_unc",1701010202,56,0.163925898907599
"157","base_unc",1701010202,57,0.10338571606161
"158","base_unc",1701010202,58,0.104107257025808
"159","base_unc",1701010202,59,0.158264699217463
"160","base_unc",1701010202,60,0.115611778798944
